Stage,Day,Time,Supplier,Scenario,Value
1,1,9,5,2,1.237809855e-13
1,1,9,5,3,0
1,1,9,5,4,0
1,1,9,6,1,540.016490275
1,1,9,6,2,0
1,1,9,6,3,175.435796626
1,1,9,6,4,0
1,1,10,1,1,0
1,1,10,1,2,956.403312718
1,1,10,1,3,950
1,1,10,1,4,1125.435796626
1,1,10,2,1,836.326133815
1,1,10,2,2,686.239168635
1,1,10,2,3,0
1,1,10,2,4,950
1,1,10,3,1,1203.198789514
1,1,10,3,2,1097.793315273
1,1,10,3,3,228
1,1,10,3,4,152
1,1,10,4,1,601.073366151
1,1,10,4,2,0
1,1,10,4,3,950
1,1,10,4,4,0
1,1,10,5,1,950
1,1,10,5,2,1.237809855e-13
1,1,10,5,3,0
1,1,10,5,4,0
1,1,10,6,1,540.016490275
1,1,10,6,2,0
1,1,10,6,3,1125.435796626
1,1,10,6,4,0
1,1,11,1,1,409.320503567
1,1,11,1,2,1621.403312718
1,1,11,1,3,950
1,1,11,1,4,2075.435796626
1,1,11,2,1,836.326133815
1,1,11,2,2,1636.239168635
1,1,11,2,3,790.651866575
1,1,11,2,4,1102
1,1,11,3,1,2153.198789514
1,1,11,3,2,2047.793315273
1,1,11,3,3,1178
1,1,11,3,4,1102
1,1,11,4,1,601.073366151
1,1,11,4,2,0
1,1,11,4,3,1337.348133425
1,1,11,4,4,0
1,1,11,5,1,1718.679496433
1,1,11,5,2,1.237809855e-13
1,1,11,5,3,0
1,1,11,5,4,0
1,1,11,6,1,1490.016490275
1,1,11,6,2,0
1,1,11,6,3,2075.435796626
1,1,11,6,4,0
1,1,12,1,1,1359.320503567
1,1,12,1,2,2571.403312718
1,1,12,1,3,950
1,1,12,1,4,2227.435796626
1,1,12,2,1,836.326133815
1,1,12,2,2,2586.239168635
1,1,12,2,3,790.651866575
1,1,12,2,4,2052
1,1,12,3,1,2153.198789514
1,1,12,3,2,2712.793315273
1,1,12,3,3,2128
1,1,12,3,4,2052
1,1,12,4,1,1551.073366151
1,1,12,4,2,0
1,1,12,4,3,1565.348133425
1,1,12,4,4,0
1,1,12,5,1,1946.679496433
1,1,12,5,2,1.237809855e-13
1,1,12,5,3,950
1,1,12,5,4,0
1,1,12,6,1,2440.016490275
1,1,12,6,2,0
1,1,12,6,3,3025.435796626
1,1,12,6,4,0
1,1,13,1,1,2309.320503567
1,1,13,1,2,3521.403312718
1,1,13,1,3,1178
1,1,13,1,4,3177.435796626
1,1,13,2,1,836.326133815
1,1,13,2,2,3536.239168635
1,1,13,2,3,1740.651866575
1,1,13,2,4,3002
1,1,13,3,1,2381.198789514
1,1,13,3,2,3377.793315273
1,1,13,3,3,2128
1,1,13,3,4,2204
1,1,13,4,1,1551.073366151
1,1,13,4,2,0
1,1,13,4,3,2515.348133425
1,1,13,4,4,0
1,1,13,5,1,2896.679496433
1,1,13,5,2,1.237809855e-13
1,1,13,5,3,950
1,1,13,5,4,0
1,1,13,6,1,3390.016490275
1,1,13,6,2,0
1,1,13,6,3,3975.435796626
1,1,13,6,4,0
1,1,14,1,1,3259.320503567
1,1,14,1,2,4471.403312718
1,1,14,1,3,2128
1,1,14,1,4,4127.435796626
1,1,14,2,1,836.326133815
1,1,14,2,2,4486.239168635
1,1,14,2,3,1740.651866575
1,1,14,2,4,3952
1,1,14,3,1,2609.198789514
1,1,14,3,2,4042.793315273
1,1,14,3,3,3078
1,1,14,3,4,2356
1,1,14,4,1,1551.073366151
1,1,14,4,2,0
1,1,14,4,3,2743.348133425
1,1,14,4,4,0
1,1,14,5,1,3846.679496433
1,1,14,5,2,1.237809855e-13
1,1,14,5,3,950
1,1,14,5,4,0
1,1,14,6,1,4340.016490275
1,1,14,6,2,0
1,1,14,6,3,4925.435796626
1,1,14,6,4,0
1,1,15,1,1,4209.320503567
1,1,15,1,2,5421.403312718
1,1,15,1,3,2128
1,1,15,1,4,5077.435796626
1,1,15,2,1,836.326133815
1,1,15,2,2,5436.239168635
1,1,15,2,3,2690.651866575
1,1,15,2,4,4902
1,1,15,3,1,2609.198789514
1,1,15,3,2,4707.793315273
1,1,15,3,3,4028
1,1,15,3,4,2508
1,1,15,4,1,2501.073366151
1,1,15,4,2,0
1,1,15,4,3,2971.348133425
1,1,15,4,4,0
1,1,15,5,1,4796.679496433
1,1,15,5,2,1.237809855e-13
1,1,15,5,3,950
1,1,15,5,4,0
1,1,15,6,1,4568.016490275
1,1,15,6,2,0
1,1,15,6,3,5875.435796626
1,1,15,6,4,0
1,1,16,1,1,4209.320503567
1,1,16,1,2,6086.403312718
1,1,16,1,3,3078
1,1,16,1,4,5450.311355203
1,1,16,2,1,836.326133815
1,1,16,2,2,6386.239168635
1,1,16,2,3,2690.651866575
1,1,16,2,4,5852
1,1,16,3,1,3559.198789514
1,1,16,3,2,5657.793315273
1,1,16,3,3,4835.645613814
1,1,16,3,4,3237.124441422
1,1,16,4,1,3451.073366151
1,1,16,4,2,0
1,1,16,4,3,3921.348133425
1,1,16,4,4,0
1,1,16,5,1,5132.965918671
1,1,16,5,2,1.237809855e-13
1,1,16,5,3,950
1,1,16,5,4,0
1,1,16,6,1,5409.730068038
1,1,16,6,2,0
1,1,16,6,3,6245.790182812
1,1,16,6,4,0
1,1,17,1,1,4437.320503567
1,1,17,1,2,6857.360055551
1,1,17,1,3,3306
1,1,17,1,4,5602.311355203
1,1,17,2,1,836.326133815
1,1,17,2,2,7230.282425802
1,1,17,2,3,3640.651866575
1,1,17,2,4,6802
1,1,17,3,1,4509.198789514
1,1,17,3,2,6607.793315273
1,1,17,3,3,4835.645613814
1,1,17,3,4,4187.124441422
1,1,17,4,1,3451.073366151
1,1,17,4,2,0
1,1,17,4,3,4871.348133425
1,1,17,4,4,0
1,1,17,5,1,6082.965918671
1,1,17,5,2,1.237809855e-13
1,1,17,5,3,950
1,1,17,5,4,0
1,1,17,6,1,6359.730068038
1,1,17,6,2,0
1,1,17,6,3,7195.790182812
1,1,17,6,4,0
1,1,18,1,1,4437.320503567
1,1,18,1,2,6872.929833618
1,1,18,1,3,3306
1,1,18,1,4,5602.311355203
1,1,18,2,1,836.326133815
1,1,18,2,2,7230.282425802
1,1,18,2,3,3640.651866575
1,1,18,2,4,6802
1,1,18,3,1,4509.198789514
1,1,18,3,2,6607.793315273
1,1,18,3,3,4835.645613814
1,1,18,3,4,4202.694219489
1,1,18,4,1,3451.073366151
1,1,18,4,2,0
1,1,18,4,3,4871.348133425
1,1,18,4,4,0
1,1,18,5,1,6082.965918671
1,1,18,5,2,1.237809855e-13
1,1,18,5,3,950
1,1,18,5,4,0
1,1,18,6,1,6453.148736439
1,1,18,6,2,0
1,1,18,6,3,7211.359960879
1,1,18,6,4,0
1,1,19,1,1,4437.320503567
1,1,19,1,2,6880.926245081
1,1,19,1,3,3306
1,1,19,1,4,5602.311355203
1,1,19,2,1,836.326133815
1,1,19,2,2,7230.282425802
1,1,19,2,3,3640.651866575
1,1,19,2,4,6802
1,1,19,3,1,4509.198789514
1,1,19,3,2,6607.793315273
1,1,19,3,3,4835.645613814
1,1,19,3,4,4210.690630952
1,1,19,4,1,3451.073366151
1,1,19,4,2,0
1,1,19,4,3,4871.348133425
1,1,19,4,4,0
1,1,19,5,1,6082.965918671
1,1,19,5,2,0
1,1,19,5,3,950
1,1,19,5,4,0
1,1,19,6,1,6501.127205215
1,1,19,6,2,0
1,1,19,6,3,7219.356372342
1,1,19,6,4,0
1,1,20,1,1,4437.320503567
1,1,20,1,2,6880.926245081
1,1,20,1,3,3306
1,1,20,1,4,5602.311355203
1,1,20,2,1,836.326133815
1,1,20,2,2,7230.282425802
1,1,20,2,3,3640.651866575
1,1,20,2,4,6802
1,1,20,3,1,4509.198789514
1,1,20,3,2,6628.900929769
1,1,20,3,3,4835.645613814
1,1,20,3,4,4231.798245447
1,1,20,4,1,3451.073366151
1,1,20,4,2,0
1,1,20,4,3,4871.348133425
1,1,20,4,4,0
1,1,20,5,1,6082.965918671
1,1,20,5,2,0
1,1,20,5,3,950
1,1,20,5,4,0
1,1,20,6,1,6627.772892187
1,1,20,6,2,0
1,1,20,6,3,7240.463986837
1,1,20,6,4,0
1,1,21,1,1,4437.320503567
1,1,21,1,2,6898.883738744
1,1,21,1,3,3306
1,1,21,1,4,5620.268848867
1,1,21,2,1,836.326133815
1,1,21,2,2,7230.282425802
1,1,21,2,3,3640.651866575
1,1,21,2,4,6802
1,1,21,3,1,4509.198789514
1,1,21,3,2,6628.900929769
1,1,21,3,3,4835.645613814
1,1,21,3,4,4231.798245447
1,1,21,4,1,3451.073366151
1,1,21,4,2,0
1,1,21,4,3,4871.348133425
1,1,21,4,4,0
1,1,21,5,1,6082.965918671
1,1,21,5,2,0
1,1,21,5,3,950
1,1,21,5,4,0
1,1,21,6,1,6735.51785417
1,1,21,6,2,0
1,1,21,6,3,7258.421480501
1,1,21,6,4,0
1,1,22,1,1,4437.320503567
1,1,22,1,2,6920.400640422
1,1,22,1,3,3306
1,1,22,1,4,5641.785750545
1,1,22,2,1,836.326133815
1,1,22,2,2,7230.282425802
1,1,22,2,3,3640.651866575
1,1,22,2,4,6802
1,1,22,3,1,4509.198789514
1,1,22,3,2,6628.900929769
1,1,22,3,3,4835.645613814
1,1,22,3,4,4231.798245447
1,1,22,4,1,3451.073366151
1,1,22,4,2,0
1,1,22,4,3,4871.348133425
1,1,22,4,4,0
1,1,22,5,1,6082.965918671
1,1,22,5,2,0
1,1,22,5,3,950
1,1,22,5,4,0
1,1,22,6,1,6864.619264238
1,1,22,6,2,0
1,1,22,6,3,7279.938382179
1,1,22,6,4,0
1,1,23,1,1,4437.320503567
1,1,23,1,2,6920.400640422
1,1,23,1,3,3306
1,1,23,1,4,5677.208376942
1,1,23,2,1,836.326133815
1,1,23,2,2,7230.282425802
1,1,23,2,3,3640.651866575
1,1,23,2,4,6802
1,1,23,3,1,4509.198789514
1,1,23,3,2,6664.323556165
1,1,23,3,3,4835.645613814
1,1,23,3,4,4231.798245447
1,1,23,4,1,3451.073366151
1,1,23,4,2,0
1,1,23,4,3,4871.348133425
1,1,23,4,4,0
1,1,23,5,1,6082.965918671
1,1,23,5,2,0
1,1,23,5,3,950
