Stage,Day,Time,Scenario,Value
1,3,16,1,156.762211188
1,3,16,2,0
1,3,16,3,0
1,3,16,4,208.524660134
1,3,17,1,0
1,3,17,2,193.045575797
1,3,17,3,0
1,3,17,4,0
1,3,18,1,0
1,3,18,2,197.980402423
1,3,18,3,0
1,3,18,4,197.980402423
1,3,19,1,0
1,3,19,2,257.640926499
1,3,19,3,0
1,3,19,4,51.640926499
1,3,20,1,0
1,3,20,2,213.967402648
1,3,20,3,0
1,3,20,4,191.078513759
1,3,21,1,0
1,3,21,2,194.156689229
1,3,21,3,0
1,3,21,4,0
1,3,22,1,0
1,3,22,2,194.47920857
1,3,22,3,0
1,3,22,4,0
1,3,23,1,0
1,3,23,2,221.735664714
1,3,23,3,0
1,3,23,4,0
1,3,24,1,0
1,3,24,2,213.795795869
1,3,24,3,0
1,3,24,4,213.795795869
1,4,1,1,0
1,4,1,2,208.911871542
1,4,1,3,0
1,4,1,4,208.911871542
1,4,2,1,0
1,4,2,2,199.630688332
1,4,2,3,0
1,4,2,4,199.630688332
1,4,3,1,0
1,4,3,2,213.62532552
1,4,3,3,0
1,4,3,4,213.62532552
1,4,4,1,0
1,4,4,2,176.690416338
1,4,4,3,0
1,4,4,4,0
1,4,5,1,0
1,4,5,2,183.200161985
1,4,5,3,0
1,4,5,4,0
1,4,6,1,0
1,4,6,2,188.481245358
1,4,6,3,0
1,4,6,4,0
1,4,7,1,0
1,4,7,2,0
1,4,7,3,0
1,4,7,4,0
1,4,8,1,0
1,4,8,2,256.08127278
1,4,8,3,0
1,4,8,4,0
1,4,9,1,0
1,4,9,2,211.862938919
1,4,9,3,0
1,4,9,4,99.348271155
1,4,10,1,0
1,4,10,2,302.539470114
1,4,10,3,0
1,4,10,4,96.539470114
1,4,11,1,0
1,4,11,2,0
1,4,11,3,0
1,4,11,4,0
1,4,12,1,0
1,4,12,2,254.3844395
1,4,12,3,0
1,4,12,4,0
1,4,13,1,0
1,4,13,2,299.69377364
1,4,13,3,0
1,4,13,4,299.69377364
1,4,14,1,0
1,4,14,2,251.525591772
1,4,14,3,0
1,4,14,4,0
1,4,15,1,0
1,4,15,2,230.707859401
1,4,15,3,0
1,4,15,4,230.707859401
1,4,16,1,0
1,4,16,2,216.676429221
1,4,16,3,0
1,4,16,4,0
1,4,17,1,0
1,4,17,2,186.871178678
1,4,17,3,0
1,4,17,4,0
1,4,18,1,0
1,4,18,2,188.867435237
1,4,18,3,0
1,4,18,4,0
1,4,19,1,0
1,4,19,2,252.758939634
1,4,19,3,0
1,4,19,4,0
1,4,20,1,0
1,4,20,2,272.030148442
1,4,20,3,0
1,4,20,4,0
1,4,21,1,0
1,4,21,2,224.730609185
1,4,21,3,0
1,4,21,4,0
1,4,22,1,0
1,4,22,2,188.920155155
1,4,22,3,0
1,4,22,4,0
1,4,23,1,0
1,4,23,2,179.955606306
1,4,23,3,0
1,4,23,4,157.066717417
1,4,24,1,0
1,4,24,2,41.942767217
1,4,24,3,0
1,4,24,4,0
1,5,1,1,1358.736840148
1,5,1,2,532.371960899
1,5,1,3,0
1,5,1,4,532.371960899
1,5,2,1,2313.686171839
1,5,2,2,406.156545192
1,5,2,3,0
1,5,2,4,406.156545192
1,5,3,1,2813.653291305
1,5,3,2,497.611979442
1,5,3,3,0
1,5,3,4,497.611979442
1,5,4,1,0
1,5,4,2,405.029479336
1,5,4,3,0
1,5,4,4,405.029479336
1,5,5,1,486.949684721
1,5,5,2,413.735699603
1,5,5,3,0
1,5,5,4,413.735699603
1,5,6,1,697.927263145
1,5,6,2,499.227818437
1,5,6,3,0
1,5,6,4,499.227818437
1,5,7,1,2471.2377812
1,5,7,2,469.122158851
1,5,7,3,0
1,5,7,4,469.122158851
1,5,8,1,2444.904328536
1,5,8,2,556.386359715
1,5,8,3,0
1,5,8,4,556.386359715
1,5,9,1,237.097644575
1,5,9,2,543.795602534
1,5,9,3,0
1,5,9,4,543.795602534
1,5,10,1,0
1,5,10,2,491.270323546
1,5,10,3,0
1,5,10,4,491.270323546
1,5,11,1,0
1,5,11,2,456.704521523
1,5,11,3,0
1,5,11,4,456.704521523
1,5,12,1,0
1,5,12,2,466.73648433
1,5,12,3,0
1,5,12,4,466.73648433
1,5,13,1,0
1,5,13,2,623.776334449
1,5,13,3,0
1,5,13,4,623.776334449
1,5,14,1,0
1,5,14,2,577.041056361
1,5,14,3,0
1,5,14,4,577.041056361
1,5,15,1,0
1,5,15,2,519.36443715
1,5,15,3,0
1,5,15,4,519.36443715
1,5,16,1,0
1,5,16,2,451.550084454
1,5,16,3,0
1,5,16,4,451.550084454
1,5,17,1,0
1,5,17,2,512.82840981
1,5,17,3,0
1,5,17,4,512.82840981
1,5,18,1,0
1,5,18,2,481.671172214
1,5,18,3,0
1,5,18,4,481.671172214
1,5,19,1,0
1,5,19,2,631.80973735
1,5,19,3,0
1,5,19,4,631.80973735
1,5,20,1,0
1,5,20,2,626.052986978
1,5,20,3,0
1,5,20,4,626.052986978
1,5,21,1,0
1,5,21,2,455.330136434
1,5,21,3,0
1,5,21,4,455.330136434
1,5,22,1,0
1,5,22,2,665.606805869
1,5,22,3,0
1,5,22,4,665.606805869
1,5,23,1,0
1,5,23,2,501.242531821
1,5,23,3,0
1,5,23,4,501.242531821
1,5,24,1,0
1,5,24,2,490.663069238
1,5,24,3,0
1,5,24,4,490.663069238
1,6,1,1,0
1,6,1,2,0
1,6,1,3,0
1,6,1,4,0
1,6,2,1,0
1,6,2,2,0
1,6,2,3,0
1,6,2,4,0
1,6,3,1,0
1,6,3,2,0
1,6,3,3,0
1,6,3,4,0
1,6,4,1,0
1,6,4,2,0
1,6,4,3,0
1,6,4,4,0
1,6,5,1,0
1,6,5,2,0
1,6,5,3,0
1,6,5,4,0
1,6,6,1,0
1,6,6,2,0
1,6,6,3,0
1,6,6,4,0
1,6,7,1,0
1,6,7,2,0
1,6,7,3,0
1,6,7,4,0
1,6,8,1,0
1,6,8,2,0
1,6,8,3,0
1,6,8,4,0
1,6,9,1,0
1,6,9,2,0
1,6,9,3,0
1,6,9,4,0
1,6,10,1,0
1,6,10,2,0
1,6,10,3,0
1,6,10,4,0
1,6,11,1,0
1,6,11,2,0
1,6,11,3,0
1,6,11,4,0
1,6,12,1,0
1,6,12,2,0
1,6,12,3,0
1,6,12,4,0
1,6,13,1,0
1,6,13,2,0
1,6,13,3,0
1,6,13,4,0
1,6,14,1,0
1,6,14,2,0
