Stage,Day,Time,Scenario,Value
1,2,15,3,38.046792666
1,2,15,4,0
1,2,16,1,0
1,2,16,2,0
1,2,16,3,0
1,2,16,4,0
1,2,17,1,358.524357596
1,2,17,2,0
1,2,17,3,59.754059599
1,2,17,4,0
1,2,18,1,203.718300663
1,2,18,2,33.95305011
1,2,18,3,33.95305011
1,2,18,4,0
1,2,19,1,123.581176889
1,2,19,2,20.596862815
1,2,19,3,20.596862815
1,2,19,4,20.596862815
1,2,20,1,394.112359164
1,2,20,2,0
1,2,20,3,65.685393194
1,2,20,4,0
1,2,21,1,89.740619923
1,2,21,2,14.956769987
1,2,21,3,14.956769987
1,2,21,4,0
1,2,22,1,42.023830162
1,2,22,2,7.003971694
1,2,22,3,7.003971694
1,2,22,4,7.003971694
1,2,23,1,153.46691247
1,2,23,2,25.577818745
1,2,23,3,25.577818745
1,2,23,4,0
1,2,24,1,232.966265353
1,2,24,2,38.827710892
1,2,24,3,38.827710892
1,2,24,4,0
1,3,1,1,1194.833824371
1,3,1,2,199.138970729
1,3,1,3,199.138970729
1,3,1,4,0
1,3,2,1,1802.118060206
1,3,2,2,300.353010034
1,3,2,3,300.353010034
1,3,2,4,300.353010034
1,3,3,1,1424.186914085
1,3,3,2,0
1,3,3,3,237.364485681
1,3,3,4,237.364485681
1,3,4,1,1165.622937291
1,3,4,2,194.270489549
1,3,4,3,194.270489549
1,3,4,4,0
1,3,5,1,1720.118415316
1,3,5,2,0
1,3,5,3,286.686402553
1,3,5,4,0
1,3,6,1,1538.890044501
1,3,6,2,256.481674084
1,3,6,3,256.481674084
1,3,6,4,256.481674084
1,3,7,1,1370.920846403
1,3,7,2,0
1,3,7,3,228.486807734
1,3,7,4,0
1,3,8,1,1313.648716113
1,3,8,2,0
1,3,8,3,218.941452685
1,3,8,4,218.941452685
1,3,9,1,1258.897506943
1,3,9,2,0
1,3,9,3,209.816251157
1,3,9,4,0
1,3,10,1,0
1,3,10,2,0
1,3,10,3,0
