Day,Electrolyzer,Time,Supplier,Value
1,1,1,0
1,1,2,42.529874726
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,2,1,0
1,2,2,19.201732309
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,3,1,1.136868377e-12
1,3,2,73.687405285
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,4,1,44.558557694
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,5,1,13.65460764
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,6,1,13.301679256
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,7,1,6.966969344
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,8,1,0
1,8,2,20.137294631
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,9,1,0
1,9,2,51.412158879
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,10,1,540
1,10,2,540
1,10,3,540
1,10,4,540
1,10,5,0
1,10,6,0
1,11,1,540
1,11,2,540
1,11,3,540
1,11,4,540
1,11,5,0
1,11,6,0
1,12,1,540
1,12,2,540
1,12,3,540
1,12,4,540
1,12,5,0
1,12,6,0
1,13,1,540
1,13,2,540
1,13,3,540
1,13,4,540
1,13,5,0
1,13,6,0
1,14,1,540
1,14,2,540
1,14,3,540
1,14,4,540
1,14,5,0
1,14,6,0
1,15,1,540
1,15,2,540
1,15,3,540
1,15,4,540
1,15,5,0
1,15,6,0
1,16,1,540
1,16,2,540
1,16,3,540
1,16,4,540
1,16,5,0
1,16,6,0
1,17,1,540
1,17,2,540
1,17,3,540
1,17,4,540
1,17,5,0
1,17,6,0
1,18,1,0
1,18,2,11.626780308
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,19,1,0
1,19,2,27.545647314
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,20,1,0
1,20,2,29.848651463
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,21,1,0
1,21,2,74.60530897
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,22,1,0
1,22,2,69.056123443
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,23,1,5.471179065e-13
1,23,2,34.374353981
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,24,1,0
1,24,2,25.102678649
1,24,3,0
1,24,4,0
1,24,5,0
1,24,6,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,17.472609791
2,1,5,0
2,1,6,0
2,2,1,17.615359533
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,3,1,24.795124205
