Stage,Day,Time,Scenario,Value
1,3,16,3,2813.347067256
1,3,16,4,0
1,3,17,1,2841.726545217
1,3,17,2,1754.323670912
1,3,17,3,2971.887250995
1,3,17,4,0
1,3,18,1,0
1,3,18,2,0
1,3,18,3,0
1,3,18,4,0
1,3,19,1,0
1,3,19,2,0
1,3,19,3,0
1,3,19,4,0
1,3,20,1,0
1,3,20,2,0
1,3,20,3,0
1,3,20,4,0
1,3,21,1,0
1,3,21,2,0
1,3,21,3,0
1,3,21,4,0
1,3,22,1,0
1,3,22,2,0
1,3,22,3,0
1,3,22,4,0
1,3,23,1,0
1,3,23,2,0
1,3,23,3,0
1,3,23,4,0
1,3,24,1,0
1,3,24,2,0
1,3,24,3,0
1,3,24,4,0
1,4,1,1,0
1,4,1,2,0
1,4,1,3,0
1,4,1,4,0
1,4,2,1,0
1,4,2,2,0
1,4,2,3,0
1,4,2,4,0
1,4,3,1,0
1,4,3,2,0
1,4,3,3,0
1,4,3,4,0
1,4,4,1,0
1,4,4,2,0
1,4,4,3,0
1,4,4,4,0
1,4,5,1,0
1,4,5,2,0
1,4,5,3,0
1,4,5,4,0
1,4,6,1,0
1,4,6,2,0
1,4,6,3,0
1,4,6,4,0
1,4,7,1,0
1,4,7,2,0
1,4,7,3,0
1,4,7,4,0
1,4,8,1,0
1,4,8,2,0
1,4,8,3,0
1,4,8,4,0
1,4,9,1,0
1,4,9,2,0
1,4,9,3,0
1,4,9,4,0
1,4,10,1,1036.440966649
1,4,10,2,0
1,4,10,3,1003.528996844
1,4,10,4,777.846793548
1,4,11,1,382.916895094
1,4,11,2,321.809958943
1,4,11,3,370.757447818
1,4,11,4,0
1,4,12,1,867.75008916
1,4,12,2,0
1,4,12,3,840.194863487
1,4,12,4,0
1,4,13,1,349.890595747
1,4,13,2,0
1,4,13,3,338.779891816
1,4,13,4,262.592165644
1,4,14,1,2490.846449365
1,4,14,2,0
1,4,14,3,3086.523653577
1,4,14,4,0
1,4,15,1,404.029716591
1,4,15,2,133.553538049
1,4,15,3,391.199836009
1,4,15,4,303.22346343
1,4,16,1,1314.601069466
1,4,16,2,0
1,4,16,3,1272.856182785
1,4,16,4,0
1,4,17,1,144.610539022
1,4,17,2,0
1,4,17,3,140.018461087
1,4,17,4,108.529909287
1,4,18,1,0
1,4,18,2,0
1,4,18,3,0
1,4,18,4,0
1,4,19,1,0
1,4,19,2,0
1,4,19,3,0
1,4,19,4,0
1,4,20,1,0
1,4,20,2,0
1,4,20,3,0
1,4,20,4,0
1,4,21,1,0
1,4,21,2,0
1,4,21,3,0
1,4,21,4,0
