Stage, Scenario,Value
1,1,22985.281820646
1,2,19317.227037397
1,3,22255.388922177
1,4,17250.406282944
2,1,22985.281820646
2,2,19317.227037397
2,3,22255.388922177
2,4,17250.406282944
