Stage,Day,Time,Supplier,Scenario,Value
1,2,8,1,3,0
1,2,8,1,4,0
1,2,8,2,1,0
1,2,8,2,2,0
1,2,8,2,3,0
1,2,8,2,4,0
1,2,8,3,1,0
1,2,8,3,2,0
1,2,8,3,3,0
1,2,8,3,4,0
1,2,8,4,1,0
1,2,8,4,2,0
1,2,8,4,3,0
1,2,8,4,4,0
1,2,8,5,1,0
1,2,8,5,2,0
1,2,8,5,3,0
1,2,8,5,4,0
1,2,8,6,1,0
1,2,8,6,2,0
1,2,8,6,3,0
1,2,8,6,4,0
1,2,9,1,1,0
1,2,9,1,2,0
1,2,9,1,3,0
1,2,9,1,4,0
1,2,9,2,1,0
1,2,9,2,2,0
1,2,9,2,3,0
1,2,9,2,4,0
1,2,9,3,1,0
1,2,9,3,2,0
1,2,9,3,3,0
1,2,9,3,4,0
1,2,9,4,1,0
1,2,9,4,2,0
1,2,9,4,3,0
1,2,9,4,4,0
1,2,9,5,1,0
1,2,9,5,2,0
1,2,9,5,3,0
1,2,9,5,4,0
1,2,9,6,1,0
1,2,9,6,2,0
1,2,9,6,3,0
1,2,9,6,4,0
1,2,10,1,1,0
1,2,10,1,2,0
1,2,10,1,3,0
1,2,10,1,4,0
1,2,10,2,1,0
1,2,10,2,2,0
1,2,10,2,3,0
1,2,10,2,4,0
1,2,10,3,1,0
1,2,10,3,2,0
1,2,10,3,3,0
1,2,10,3,4,0
1,2,10,4,1,0
1,2,10,4,2,0
1,2,10,4,3,0
1,2,10,4,4,0
1,2,10,5,1,0
1,2,10,5,2,0
1,2,10,5,3,0
1,2,10,5,4,0
1,2,10,6,1,0
1,2,10,6,2,0
1,2,10,6,3,0
1,2,10,6,4,0
1,2,11,1,1,0
1,2,11,1,2,0
1,2,11,1,3,0
1,2,11,1,4,0
1,2,11,2,1,0
1,2,11,2,2,0
1,2,11,2,3,0
1,2,11,2,4,0
1,2,11,3,1,0
1,2,11,3,2,0
1,2,11,3,3,0
1,2,11,3,4,0
1,2,11,4,1,0
1,2,11,4,2,0
1,2,11,4,3,0
1,2,11,4,4,0
1,2,11,5,1,0
1,2,11,5,2,0
1,2,11,5,3,0
1,2,11,5,4,0
1,2,11,6,1,0
1,2,11,6,2,0
1,2,11,6,3,0
1,2,11,6,4,0
1,2,12,1,1,0
1,2,12,1,2,0
1,2,12,1,3,0
1,2,12,1,4,0
1,2,12,2,1,0
1,2,12,2,2,0
1,2,12,2,3,0
1,2,12,2,4,0
1,2,12,3,1,0
1,2,12,3,2,0
1,2,12,3,3,0
1,2,12,3,4,0
1,2,12,4,1,0
1,2,12,4,2,0
1,2,12,4,3,0
1,2,12,4,4,0
1,2,12,5,1,0
1,2,12,5,2,0
1,2,12,5,3,0
1,2,12,5,4,0
1,2,12,6,1,0
1,2,12,6,2,0
1,2,12,6,3,0
1,2,12,6,4,0
1,2,13,1,1,0
1,2,13,1,2,0
1,2,13,1,3,0
1,2,13,1,4,0
1,2,13,2,1,0
1,2,13,2,2,0
1,2,13,2,3,0
1,2,13,2,4,0
1,2,13,3,1,0
1,2,13,3,2,0
1,2,13,3,3,0
1,2,13,3,4,0
1,2,13,4,1,0
1,2,13,4,2,0
1,2,13,4,3,0
1,2,13,4,4,0
1,2,13,5,1,0
1,2,13,5,2,0
1,2,13,5,3,0
1,2,13,5,4,0
1,2,13,6,1,0
1,2,13,6,2,0
1,2,13,6,3,0
1,2,13,6,4,0
1,2,14,1,1,0
1,2,14,1,2,0
1,2,14,1,3,0
1,2,14,1,4,0
1,2,14,2,1,0
1,2,14,2,2,0
1,2,14,2,3,0
1,2,14,2,4,0
1,2,14,3,1,0
1,2,14,3,2,0
1,2,14,3,3,0
1,2,14,3,4,0
1,2,14,4,1,0
1,2,14,4,2,0
1,2,14,4,3,0
1,2,14,4,4,0
1,2,14,5,1,0
1,2,14,5,2,0
1,2,14,5,3,0
1,2,14,5,4,0
1,2,14,6,1,0
1,2,14,6,2,0
1,2,14,6,3,0
1,2,14,6,4,0
1,2,15,1,1,0
1,2,15,1,2,0
1,2,15,1,3,0
1,2,15,1,4,0
1,2,15,2,1,0
1,2,15,2,2,0
1,2,15,2,3,0
1,2,15,2,4,0
1,2,15,3,1,0
1,2,15,3,2,0
1,2,15,3,3,0
1,2,15,3,4,0
1,2,15,4,1,0
1,2,15,4,2,0
1,2,15,4,3,0
1,2,15,4,4,0
1,2,15,5,1,0
1,2,15,5,2,0
1,2,15,5,3,0
1,2,15,5,4,0
1,2,15,6,1,0
1,2,15,6,2,0
1,2,15,6,3,0
1,2,15,6,4,0
1,2,16,1,1,0
1,2,16,1,2,0
1,2,16,1,3,0
1,2,16,1,4,0
1,2,16,2,1,0
1,2,16,2,2,0
1,2,16,2,3,0
1,2,16,2,4,0
1,2,16,3,1,0
1,2,16,3,2,0
1,2,16,3,3,0
1,2,16,3,4,0
1,2,16,4,1,0
1,2,16,4,2,0
1,2,16,4,3,0
1,2,16,4,4,0
1,2,16,5,1,0
1,2,16,5,2,0
1,2,16,5,3,0
1,2,16,5,4,0
1,2,16,6,1,0
1,2,16,6,2,0
1,2,16,6,3,0
1,2,16,6,4,0
1,2,17,1,1,0
1,2,17,1,2,0
1,2,17,1,3,0
1,2,17,1,4,0
1,2,17,2,1,0
1,2,17,2,2,0
1,2,17,2,3,0
1,2,17,2,4,0
1,2,17,3,1,0
1,2,17,3,2,0
1,2,17,3,3,0
1,2,17,3,4,0
1,2,17,4,1,0
1,2,17,4,2,0
1,2,17,4,3,0
1,2,17,4,4,0
1,2,17,5,1,0
1,2,17,5,2,0
1,2,17,5,3,0
1,2,17,5,4,0
1,2,17,6,1,0
1,2,17,6,2,0
1,2,17,6,3,0
1,2,17,6,4,0
1,2,18,1,1,0
1,2,18,1,2,0
1,2,18,1,3,0
1,2,18,1,4,0
1,2,18,2,1,0
1,2,18,2,2,0
1,2,18,2,3,0
1,2,18,2,4,0
1,2,18,3,1,0
1,2,18,3,2,0
1,2,18,3,3,0
1,2,18,3,4,0
1,2,18,4,1,0
1,2,18,4,2,0
1,2,18,4,3,0
1,2,18,4,4,0
1,2,18,5,1,0
1,2,18,5,2,0
1,2,18,5,3,0
1,2,18,5,4,0
1,2,18,6,1,0
